time,close,RSI,RSI_80_fcst,RSI_40_fcst,RSI_60_fcst,RSI_20_fcst,EMA_8,EMA_24,EMA_8_above,EMA_24_above,RSI_fcst,target
2023-07-24T14:00:00+03:00,2940.83,0.38264543,3019.9062,2902.9429,2940.636,2795.5806,2927.4758,2933.0256,1,1,3,2937.42
2023-07-24T15:00:00+03:00,2941.52,0.38206217,3016.859,2904.1401,2940.9756,2797.2695,2928.5994,2934.9133,1,1,3,2940.83
2023-07-24T16:00:00+03:00,2935.43,0.38166663,3018.584,2905.7097,2942.016,2801.684,2929.1458,2935.028,1,1,2,2941.52
2023-07-24T17:00:00+03:00,2935.84,0.38146856,3017.8088,2907.4434,2942.588,2807.52,2929.6814,2935.2085,1,1,2,2935.43
2023-07-24T18:00:00+03:00,2937.47,0.38138345,3015.3657,2909.0981,2942.86,2813.153,2930.3044,2935.711,1,1,2,2935.84
2023-07-25T10:00:00+03:00,2958.24,0.38052285,3012.3367,2908.242,2944.942,2802.1697,2932.5393,2940.7175,1,1,3,2937.47
2023-07-25T11:00:00+03:00,2955.03,0.37923563,3011.9138,2908.7446,2946.6118,2798.151,2934.3386,2943.898,1,1,3,2958.24
2023-07-25T12:00:00+03:00,2956.06,0.37768826,3010.3123,2910.042,2948.0845,2798.1467,2936.0762,2946.6006,1,1,3,2955.03
2023-07-25T13:00:00+03:00,2960.66,0.37585634,3008.0474,2911.4236,2949.8557,2797.903,2938.043,2949.725,1,1,3,2956.06
2023-07-25T14:00:00+03:00,2960.25,0.37391907,3005.7554,2913.5144,2951.3108,2801.4966,2939.8196,2952.064,1,1,3,2960.66
2023-07-25T15:00:00+03:00,2957.39,0.37212503,3005.7249,2915.9768,2952.4434,2807.591,2941.225,2953.2476,1,1,3,2960.25
2023-07-25T16:00:00+03:00,2964.03,0.37025267,3004.7368,2917.785,2954.1602,2809.6086,2943.0496,2955.6436,1,1,3,2957.39
2023-07-25T17:00:00+03:00,2969.55,0.36816552,3003.2437,2919.395,2956.2532,2809.8638,2945.1697,2958.734,1,1,3,2964.03
2023-07-25T18:00:00+03:00,2975.36,0.3657764,3001.5767,2920.9216,2958.72,2808.7808,2947.5847,2962.4285,1,1,3,2969.55
2023-07-26T10:00:00+03:00,2964.09,0.3636992,3010.0627,2922.9678,2960.527,2811.6072,2948.9053,2962.7979,1,1,3,2975.36
